,0,1,2
598,1290 Permastand 886A,,207
599,1317 Permastand 886B,,120
600,1318 Permastand 886C,,41
601,,539 Permastand 891,16
602,1651 Permastand 891A,,691
603,1652 Permastand 891B,,21
604,1613 Permastand 891C,,31
605,,1667 Philips Landscape LED Spotlight,10
606,1072 Pumco 5436A,,553
607,1079 Pumco 60008-3A,,28
608,,1283 Pumco 7004D (Culver City Lt. Std.),6
609,1086 Pumco H30B2-8,,6
610,1269 Pumco LA 10232-A,,3
611,1078 Pumco LA 10232-D,,8
612,1131 Pumco XLD-7003,,8
613,1164 Redwood Special,,5
614,1162 Robertson Bl Spl,,21
615,,1558 Round Straight Smooth Aluminum Pole,7
616,1373 Shalda Tree Light,,12
617,,1400 Shrine Auditorium 2-Lt Special,10
618,1074 Soffit,,4343
619,,548 Southwest #1806,11
620,,1583 Southwest #1806 (Replica),38
621,,1166 Stairway Balustrade Conc Pole,1
622,,1531 Sterner Infanor 565 Wallwash Fixture,10
623,,1668 The Village Sherman Oaks Monument,1
624,1418 Tree Light (Kim),,17
625,1538 Tunnel Light,,700
626,1535 Type X_2-18' Arms,,1
627,535 UM 1191,,194
628,578 UM 1192,,5
629,544 UM 1193,,410
630,1251 UM 1298,,20
631,1203 UM 1519,,32
632,570 UM 1571,,3
633,1259 UM 1610,,12
634,572 UM 1620,,20
635,,1190 UM 1620A (TROLLEY),4
636,534 UM 1747,,342
637,1357 UM 1747 (Refurbish),,17
638,531 UM 1774,,1684
639,532 UM 1775,,15
640,577 UM 1906,,512
641,1512 UM 1906-Traffic,,1
642,1144 UM 2000,,11
643,1158 UM 2216,,8
644,565 UM 2502,,28
645,1216 UM 3691,,8
646,569 UM 40006Y-1,,39
647,,566 UM 40006Y-1 Conversion,6
648,1217 UM 40052,,6
649,552 UM 40314,,522
650,1529 UM 40314T,,5
651,1193 UM 40315,,2
652,1196 UM 41020,,8
653,568 UM 4177,,1
654,1179 UM 6148,,3
655,588 UM 6160,,57
656,1541 UM 6211-Y-558,,30
657,587 UM 6213,,76
658,1140 UM 6219,,92
659,1132 UM 6311-Y-90,,2
660,1042 UM 6319-Y-10,,3
661,543 UM 649,,8
662,1058 UM 70149,,2
663,1299 UM 7112,,1
664,558 UM 792,,14
665,,1411 UM 8705 Support Shaft,6
666,559 UM 874,,101
667,537 UM 895-S,,23
668,1265 UM Special,,1
669,1186 Util Pole,,12
670,,1312 Valmont Combo Pole 24' & 12' Arm,10
671,,1313 Valmont Combo Pole 24' & 6' Arm,20
672,1289 Valmont Pole 24',,17
673,1386 Wall Mounted (G.E.),,31
674,,1387 Wall Mounted (Gardco Form 10),37
675,,1257 Wall Mounted (Gardco),212
676,,1304 Wall Mounted (Lumec),4
677,,1550 Wall Mounted Bridge Arch,4
678,1367 Wall Mounted Fixture,,72
679,,1605 Wall Mounted Gothic Lantern,4
680,1606 Wall Mounted Kenall,,9
681,,1076 Wall Mounted Pole W-1,4
682,,1493 Wallmount - Gardco MV,38
683,,1494 Wallmount - GE Wallighter,2
684,1115 Wallmount (Generic),,443
685,,564 West'Hse Calif Duplex CI 2-lite,39
686,,1276 West'Hse Calif Special CI 2-lite,24
687,,1301 Westwood Pedestrian Pole,35
688,562 Whitley Ht Spl,,116
689,1108 Wilshire Special,,104
690,1146 Windsor Sq Spl (CI),,114
691,TOTAL,,213532
